NumeroVol,Origine,Destination,ClasseReservation,Net,Taxe
KL1771,AMS,BER,S,382.00,104.95
KL1771,AMS,BER,S,382.00,117.65
KL1771,AMS,BER,S,522.00,104.95
KL1771,AMS,BER,S,522.00,117.65
KL1771,AMS,BER,T,127.00,104.95
KL1771,AMS,BER,T,127.00,117.65
KL1771,AMS,BER,T,191.00,104.95
KL1771,AMS,BER,T,191.00,117.65
KL1771,AMS,BER,T,311.00,104.95
KL1771,AMS,BER,T,311.00,117.65
KL1771,AMS,BER,U,374.00,104.95
KL1771,AMS,BER,U,374.00,117.65
KL1771,AMS,BER,U,452.00,104.95
KL1771,AMS,BER,U,452.00,117.65
KL1771,AMS,BER,U,592.00,104.95
KL1771,AMS,BER,U,592.00,117.65
KL1771,AMS,BER,V,136.00,104.95
KL1771,AMS,BER,V,136.00,117.65
KL1771,AMS,BER,V,256.00,104.95
KL1771,AMS,BER,V,256.00,117.65
KL1771,AMS,BER,W,428.00,104.95
KL1771,AMS,BER,W,428.00,117.65
KL1771,AMS,BER,W,502.00,104.95
KL1771,AMS,BER,W,502.00,117.65
KL1771,AMS,BER,W,652.00,104.95
KL1771,AMS,BER,W,652.00,117.65
KL1771,AMS,BER,X,115.00,104.95
KL1771,AMS,BER,X,115.00,117.65
KL1771,AMS,BER,X,235.00,104.95
KL1771,AMS,BER,X,235.00,117.65
KL1771,AMS,BER,Y,948.00,104.95
KL1771,AMS,BER,Y,948.00,117.65
KL1771,AMS,BER,Y,1037.00,104.95
KL1771,AMS,BER,Y,1037.00,117.65
KL1771,AMS,BER,Y,1237.00,104.95
KL1771,AMS,BER,Y,1237.00,117.65
KL1771,AMS,BER,Y,1643.00,104.95
KL1771,AMS,BER,Y,1643.00,117.65
KL1771,AMS,BER,Z,577.00,104.95
KL1771,AMS,BER,Z,577.00,117.65
KL1771,AMS,BER,Z,628.00,104.95
KL1771,AMS,BER,Z,628.00,117.65
KL1771,AMS,BER,Z,690.00,104.95
KL1771,AMS,BER,Z,690.00,117.65
KL1771,AMS,BER,Z,753.00,104.95
KL1771,AMS,BER,Z,753.00,117.65
KL1771,AMS,BER,Z,771.00,104.95
KL1771,AMS,BER,Z,771.00,117.65
KL1771,AMS,BER,Z,802.00,104.95
KL1771,AMS,BER,Z,802.00,117.65
KL1771,AMS,BER,Z,863.00,104.95
KL1771,AMS,BER,Z,863.00,117.65
KL1771,AMS,BER,Z,902.00,104.95
KL1771,AMS,BER,Z,902.00,117.65
